epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1514,1.48719,1.98538,1.17266,0.99683,0.38846,0.4988,0.29505,1.38359,2.59036,1.0929,0.000544553,0.000544553,0.000544553
2,31.4205,1.46488,1.3285,1.16451,0.79748,0.49752,0.90276,0.39865,1.51614,1.88422,1.2107,0.0010866,0.0010866,0.0010866
3,45.5254,1.43262,1.22522,1.1762,0.93602,0.74402,0.9189,0.44389,1.42461,1.49953,1.19255,0.0016149,0.0016149,0.0016149
4,60.4025,1.42806,1.106,1.15434,0.93232,0.92893,0.92743,0.47078,1.37052,1.23074,1.15613,0.00160511,0.00160511,0.00160511
5,75.4696,1.40232,0.99245,1.14333,0.942,0.92101,0.96008,0.48219,1.47492,0.96176,1.17312,0.00158448,0.00158448,0.00158448
6,90.2148,1.37232,0.90937,1.15307,0.94618,0.95022,0.94982,0.48118,1.36965,0.81237,1.14155,0.00156385,0.00156385,0.00156385
7,104.572,1.37772,0.82859,1.13529,0.92916,0.95082,0.92304,0.48685,1.30661,0.89427,1.11598,0.00154323,0.00154323,0.00154323
8,119.359,1.37033,0.80128,1.12295,0.97036,0.96721,0.95718,0.48537,1.34072,0.70071,1.10364,0.0015226,0.0015226,0.0015226
9,134.228,1.36151,0.78226,1.11063,0.96475,0.96474,0.96857,0.50422,1.36391,0.7456,1.12748,0.00150197,0.00150197,0.00150197
10,148.77,1.3463,0.7651,1.1165,0.9784,0.97541,0.96822,0.49239,1.32069,0.68924,1.11295,0.00148134,0.00148134,0.00148134
11,162.922,1.3549,0.74527,1.12826,0.97359,0.97333,0.96962,0.49509,1.42743,0.70001,1.12995,0.00146071,0.00146071,0.00146071
12,177.385,1.31028,0.71393,1.10665,0.96469,0.97541,0.9589,0.50204,1.30218,0.61547,1.08968,0.00144008,0.00144008,0.00144008
13,192.415,1.31426,0.69851,1.11022,0.9729,0.97253,0.96668,0.53117,1.22577,0.6291,1.06646,0.00141945,0.00141945,0.00141945
14,206.934,1.30603,0.69062,1.11519,0.9648,0.96423,0.95293,0.48588,1.33877,0.60973,1.10308,0.00139882,0.00139882,0.00139882
15,221.056,1.29423,0.67129,1.10397,0.95611,0.95082,0.95797,0.50355,1.33994,0.58508,1.10078,0.00137819,0.00137819,0.00137819
16,235.231,1.29053,0.67309,1.1,0.98822,0.98361,0.98659,0.50244,1.36895,0.59813,1.10843,0.00135756,0.00135756,0.00135756
17,249.601,1.33166,0.68403,1.11828,0.96183,0.95082,0.9523,0.50664,1.30952,0.58215,1.09171,0.00133693,0.00133693,0.00133693
18,264.035,1.2709,0.64195,1.09059,0.95601,0.95082,0.94438,0.52559,1.22854,0.5784,1.07143,0.0013163,0.0013163,0.0013163
19,278.066,1.25188,0.63671,1.09698,0.95411,0.95082,0.94209,0.51031,1.35612,0.6215,1.10888,0.00129568,0.00129568,0.00129568
20,292.238,1.27001,0.6324,1.10174,0.93896,0.93443,0.92962,0.51187,1.2357,0.54524,1.08039,0.00127505,0.00127505,0.00127505
21,306.934,1.2565,0.62258,1.07943,0.95069,0.95082,0.95699,0.49377,1.31907,0.55941,1.09794,0.00125442,0.00125442,0.00125442
22,321.009,1.24951,0.59845,1.08651,0.93456,0.94498,0.93238,0.53792,1.22308,0.52225,1.06021,0.00123379,0.00123379,0.00123379
23,334.73,1.23615,0.60656,1.07234,0.95739,0.95902,0.94898,0.53521,1.29402,0.55202,1.08476,0.00121316,0.00121316,0.00121316
24,348.4,1.26396,0.60519,1.08461,0.96243,0.96721,0.96731,0.53511,1.25283,0.51995,1.07305,0.00119253,0.00119253,0.00119253
25,362.093,1.22149,0.59776,1.07013,0.96518,0.96721,0.96424,0.51913,1.24587,0.50261,1.07287,0.0011719,0.0011719,0.0011719
26,375.913,1.23949,0.5977,1.0843,0.98911,0.97541,0.98386,0.53044,1.24906,0.52829,1.07893,0.00115127,0.00115127,0.00115127
27,389.684,1.21506,0.59554,1.07443,0.97338,0.9656,0.95782,0.52479,1.23687,0.53227,1.07233,0.00113064,0.00113064,0.00113064
28,403.227,1.20671,0.57327,1.05886,0.97222,0.96721,0.95586,0.51818,1.27955,0.51944,1.08209,0.00111001,0.00111001,0.00111001
29,417.509,1.21302,0.58177,1.0752,0.97364,0.96721,0.96056,0.53001,1.22359,0.52555,1.06756,0.00108938,0.00108938,0.00108938
30,432.059,1.21142,0.57699,1.07243,0.95703,0.95902,0.94737,0.49583,1.47136,0.55048,1.13175,0.00106876,0.00106876,0.00106876
31,446.296,1.20951,0.57424,1.06416,0.94932,0.95024,0.9338,0.51169,1.2457,0.50157,1.07262,0.00104813,0.00104813,0.00104813
32,460.101,1.2314,0.56882,1.06924,0.97372,0.96532,0.97435,0.53295,1.25898,0.48326,1.07426,0.0010275,0.0010275,0.0010275
33,473.963,1.20592,0.55707,1.06845,0.97147,0.95902,0.96506,0.52782,1.20969,0.48189,1.07338,0.00100687,0.00100687,0.00100687
34,487.665,1.17331,0.55362,1.06109,0.95825,0.95902,0.95206,0.50976,1.30481,0.50774,1.10033,0.000986239,0.000986239,0.000986239
35,501.347,1.17341,0.55293,1.05195,0.96428,0.95902,0.96444,0.51778,1.36179,0.52347,1.10527,0.00096561,0.00096561,0.00096561
36,515.077,1.19298,0.55543,1.06848,0.96405,0.96721,0.94915,0.52432,1.30448,0.50146,1.09808,0.000944981,0.000944981,0.000944981
37,528.685,1.18095,0.54362,1.05831,0.97848,0.97541,0.97199,0.51759,1.3106,0.48877,1.0929,0.000924352,0.000924352,0.000924352
38,542.883,1.16732,0.54134,1.0567,0.96606,0.97541,0.97036,0.52989,1.28781,0.49152,1.08874,0.000903722,0.000903722,0.000903722
39,557.22,1.1675,0.54113,1.04023,0.96551,0.96721,0.97763,0.53453,1.2457,0.468,1.08089,0.000883093,0.000883093,0.000883093
40,571.355,1.17206,0.537,1.04735,0.96501,0.96721,0.97094,0.52621,1.24124,0.46645,1.08147,0.000862464,0.000862464,0.000862464
41,584.997,1.1736,0.53723,1.05347,0.98834,0.98361,0.98944,0.53301,1.25078,0.50514,1.08701,0.000841835,0.000841835,0.000841835
42,598.763,1.17222,0.54069,1.05964,0.98006,0.97541,0.97211,0.5075,1.34743,0.49993,1.10631,0.000821206,0.000821206,0.000821206
43,612.547,1.16048,0.53263,1.04283,0.9789,0.98361,0.98529,0.51855,1.24618,0.4785,1.07888,0.000800577,0.000800577,0.000800577
44,626.217,1.13734,0.52206,1.04375,0.94204,0.95902,0.94698,0.53092,1.25456,0.47193,1.08089,0.000779948,0.000779948,0.000779948
45,639.889,1.16323,0.52553,1.05657,0.97371,0.97541,0.97135,0.52771,1.28604,0.46693,1.08817,0.000759318,0.000759318,0.000759318
46,653.723,1.1379,0.51595,1.04405,0.95911,0.97515,0.9647,0.53126,1.25136,0.4831,1.08296,0.000738689,0.000738689,0.000738689
47,668.135,1.13182,0.51285,1.04595,0.95742,0.96656,0.97158,0.52484,1.22281,0.4597,1.07511,0.00071806,0.00071806,0.00071806
48,682.217,1.13887,0.52381,1.04083,0.97205,0.96721,0.95942,0.53445,1.23373,0.46038,1.07066,0.000697431,0.000697431,0.000697431
49,695.801,1.1264,0.51317,1.03788,0.97212,0.96721,0.97123,0.5277,1.22953,0.44811,1.07675,0.000676802,0.000676802,0.000676802
50,709.552,1.08282,0.49529,1.02654,0.98209,0.98361,0.98415,0.53872,1.27905,0.4524,1.08782,0.000656173,0.000656173,0.000656173
51,723.238,1.10567,0.50067,1.04065,0.98932,0.98361,0.98869,0.52577,1.29206,0.48477,1.09019,0.000635544,0.000635544,0.000635544
52,737.103,1.1084,0.50334,1.03465,0.96529,0.96721,0.96812,0.51764,1.23206,0.45421,1.079,0.000614915,0.000614915,0.000614915
53,750.769,1.09298,0.50276,1.02828,0.96434,0.96721,0.95429,0.53162,1.24393,0.43569,1.07871,0.000594286,0.000594286,0.000594286
54,764.419,1.08442,0.49438,1.02765,0.96614,0.96633,0.95788,0.52087,1.23212,0.45481,1.0809,0.000573656,0.000573656,0.000573656
55,778.445,1.10575,0.49787,1.03177,0.95463,0.95902,0.94335,0.51603,1.23084,0.46461,1.07231,0.000553027,0.000553027,0.000553027
56,793.102,1.09317,0.50047,1.03249,0.97175,0.98361,0.98685,0.51956,1.25646,0.45052,1.09214,0.000532398,0.000532398,0.000532398
57,807.178,1.09471,0.4935,1.04156,0.98091,0.97541,0.97985,0.51354,1.24645,0.43553,1.08779,0.000511769,0.000511769,0.000511769
58,820.812,1.09626,0.48051,1.03208,0.9744,0.97329,0.9647,0.51809,1.29652,0.44255,1.10292,0.00049114,0.00049114,0.00049114
59,834.596,1.0624,0.47122,1.01421,0.97375,0.97406,0.96635,0.51706,1.29076,0.44933,1.10819,0.000470511,0.000470511,0.000470511
60,848.454,1.08596,0.47809,1.02804,0.97161,0.97541,0.96762,0.52915,1.27742,0.43803,1.10096,0.000449882,0.000449882,0.000449882
61,862.263,1.07474,0.47535,1.03052,0.97433,0.98254,0.97069,0.51183,1.33075,0.4563,1.1034,0.000429253,0.000429253,0.000429253
